    ,Location,Technology      ,Tweet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Sentiment_Score
49  ,FL      ,iot             ,RT @LeimerNick: Proud to be part of the IoT Observatory.\nhttps://t.co/zoMNf2NWmr https://t.co/xdvHGG05Yn                                                                                                                                                                                                                                                                                                                                                                                                ,1
50  ,FL      ,iot             ,"RT @adrian_drones: Top #Influencers: Top 10 Vertices, Ranked by Betweenness Centrality\nby @nodexl | \n\nRead more: \n\n#IoT #InternetofThings #\u2026"                                                                                                                                                                                                                                                                                                                                                 ,1
51  ,FL      ,iot             ,RT @EmbeddedAdvisor: .@Avnet is a global leader in electronic components and embedded solutions from design to delivery https://t.co/VxxkYO\u2026                                                                                                                                                                                                                                                                                                                                                        ,0
52  ,FL      ,iot             ,RT @WorldTrendsInfo: 10 ways to win with #digitaltransformation #Infographic via @MikeQuindazzi \n\n#ai #robotics #rpa #cx #iot #datascience\u2026                                                                                                                                                                                                                                                                                                                                                       ,1
53  ,FL      ,iot             ,RT @BobSudothis: What is #cloud computing to an #industry? [Infographic] \n\n#Industry40 #iot #PaaS #SaaS #IaaS #disruptive #visualization #s\u2026                                                                                                                                                                                                                                                                                                                                                      ,0
54  ,FL      ,iot             ,RT @amy_mclean_ai: The six most common #databreach causes [#infographic]\n\n#MI #ML #AI #IoT #Marketing #DataScience #Startup #Fintech #DL #B\u2026                                                                                                                                                                                                                                                                                                                                                      ,1
55  ,FL      ,iot             ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                                                                                                                                                                                                                                                                                                                                                    ,0
56  ,FL      ,iot             ,RT @insurance_cio: Keeping up with the Social and Digital Evolution in Insurance https://t.co/9EwUV1zbqu #Cloud #IoT                                                                                                                                                                                                                                                                                                                                                                                     ,0
57  ,FL      ,iot             ,RT @PD_MobileApps: You can back this foldable E Ink typewriter on Kickstarter right now: #machinelearning #ai #iot HT @MikeQuindazzi https:\u2026                                                                                                                                                                                                                                                                                                                                                        ,1
58  ,FL      ,iot             ,RT @LynnetteKTaylor: How do you describe what #AI can do?\n\n#IoT #CyberSecurity #MachineLearning #DeepLearning #infosec #fintech #gaming #ch\u2026                                                                                                                                                                                                                                                                                                                                                      ,0
59  ,FL      ,iot             ,RT @rtehrani: #Cayenne Spices Up India's Growing #IoT Momentum Partnering with @senraco https://t.co/mgfpdwgMks                                                                                                                                                                                                                                                                                                                                                                                          ,0
60  ,FL      ,iot             ,RT @WorldTrendsInfo: 10 ways to win with #digitaltransformation #Infographic via @MikeQuindazzi \n\n#ai #robotics #rpa #cx #iot #datascience\u2026                                                                                                                                                                                                                                                                                                                                                       ,1
61  ,FL      ,iot             ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                                                                                                                                                                                                                                                                                                                                                    ,0
62  ,FL      ,iot             ,Proud to be part of the IoT Observatory.\nhttps://t.co/zoMNf2NWmr https://t.co/xdvHGG05Yn                                                                                                                                                                                                                                                                                                                                                                                                                ,1
63  ,FL      ,iot             ,RT @WorldTrendsInfo: 10 ways to win with #digitaltransformation #Infographic via @MikeQuindazzi \n\n#ai #robotics #rpa #cx #iot #datascience\u2026                                                                                                                                                                                                                                                                                                                                                       ,1
64  ,FL      ,iot             ,RT @brianrandall763: 8 Emerging Technologies in Entertainment &amp; Media [#infographic] via @MikeQuindazzi HT @PetiotEric #AI #AR #VR #Machine\u2026                                                                                                                                                                                                                                                                                                                                                    ,0
65  ,FL      ,iot             ,Product Event on June 20: Enterprise Messaging and Beyond.  Register at: https://t.co/C5dCL6Ox7d @SoftwareAG\u2026 https://t.co/wXqAcRa40Q                                                                                                                                                                                                                                                                                                                                                               ,0
66  ,FL      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/opUlYsO6lY                                                                                                                                                                                                                                                                                                                                                        ,0
67  ,FL      ,iot             ,IOT Device Management Market Is Witness To Boost Rapidly Due To Increased Adoption Of Smart Connected Devices By 20\u2026 https://t.co/oq4rmp51m7                                                                                                                                                                                                                                                                                                                                                        ,0
68  ,FL      ,iot             ,2018-05-17T04:22:05.612Z security deckcam vmotion                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0
69  ,FL      ,iot             ,"RT @amy_mclean_ai: How Alphabet is working to stop election cyber attacks (The 3:59, Ep. 403) - CNET: #machinelearning #ai #iot copy https:\u2026"                                                                                                                                                                                                                                                                                                                                                      ,0
70  ,FL      ,iot             ,"RT @AdosiaIO: Dev backend env GUI is nearly perfect. Next, a slick user control panel to manage Adosia #iot h/w.  #progress #blockchain #te\u2026"                                                                                                                                                                                                                                                                                                                                                      ,1
71  ,FL      ,iot             ,2018-05-17T04:21:27.736Z security garage vmotion                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0
72  ,FL      ,iot             ,RT @Self_Driving_AI: The IoT is becoming the IoS Internet of Services. This is the 3rd. Generation of IoT. #Infographic #IoT #technology #w\u2026                                                                                                                                                                                                                                                                                                                                                        ,1
73  ,FL      ,iot             ,RT @donna_brown_ai: RT @Ed_Lambert_P2P\n Internet of Things Map HT @InsightBrief @MieQuindazzi RT @Fisher85M #IoT #CyberSecurity #wearables\u2026                                                                                                                                                                                                                                                                                                                                                        ,0
74  ,FL      ,iot             ,"RT @IEEESpectrum: A new component for #IoT devices can deal with extreme heat, and could be used to monitor superhot places, such as the ti\u2026"                                                                                                                                                                                                                                                                                                                                                      ,0
75  ,FL      ,iot             ,RT @IBM: How do zebra and antelope help protect endangered rhino from poachers?\u00a0IoT and IBM Cloud. https://t.co/UARitwkHz9                                                                                                                                                                                                                                                                                                                                                                          ,0
76  ,FL      ,iot             ,RT @HaroldSinnott: 21% of #enterprises lack confidence in their #skills and #talent required for #4IR and #EmergingTechnologies. https://t.\u2026                                                                                                                                                                                                                                                                                                                                                        ,0
77  ,FL      ,iot             ,RT @ai_amelia_: What is Usenet? 5 things you didn\u2019t know about it: #machinelearning #ai #iot ht: @Mikequindazzi https://t.co/vvCQjt70DI htt\u2026                                                                                                                                                                                                                                                                                                                                                   ,0
78  ,FL      ,iot             ,RT @ar_carl_parsons: Map of Computer Science #Infographic \nfrom @mr_mig_by \n#BigData #DataScience #AI #MachineLearning #Coding #Robotics #I\u2026                                                                                                                                                                                                                                                                                                                                                      ,0
79  ,FL      ,iot             ,RT @HaroldSinnott: #VC-backed #startups developing #AI technology increased 6x since 2000 &gt;&gt; via @MikeQuindazzi &gt;&gt; #ArtificialIntelligence\u2026                                                                                                                                                                                                                                                                                                                                             ,0
80  ,FL      ,iot             ,RT @Victoria_Ball_0: Best Windows tablets 2018: the top Windows tablets reviewed: #BigData #MachineLearning #AI #IoT MT @worldtrendsinfo ht\u2026                                                                                                                                                                                                                                                                                                                                                        ,1
81  ,FL      ,iot             ,RT @Self_Driving_AI: The IoT is becoming the IoS Internet of Services. This is the 3rd. Generation of IoT. #Infographic #IoT #technology #w\u2026                                                                                                                                                                                                                                                                                                                                                        ,1
82  ,FL      ,iot             ,"RT @GS1_US: GS1 US SVP, Melanie Nuce, explores the concept of the Internet of Everything and why \u201cThing + Person = Relationship\u201d. https://t\u2026"                                                                                                                                                                                                                                                                                                                                            ,0
83  ,FL      ,iot             ,RT @alison_iot: The line between food and medicine is blurrier than ever \u2014 and the FDA needs to step up its game: #BigData #MachineLearning\u2026                                                                                                                                                                                                                                                                                                                                                   ,0
84  ,FL      ,iot             ,RT @SmartHomeSolver: The Arbor Video Doorbell is a battery doorbell that gives a full-HD view of your front porch https://t.co/izB0PhEsrT v\u2026                                                                                                                                                                                                                                                                                                                                                        ,0
85  ,FL      ,iot             ,"RT @LeimerNick: # IoT and #insurance, the ability to capture real-time data before, during and after a claim event  is a gamechanger for in\u2026"                                                                                                                                                                                                                                                                                                                                                      ,1
